Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",246.142284,-69.976471,135.000000,bottom
"C2","22pF","C_0805_2012Metric",241.203143,-74.951533,315.000000,bottom
"C3","0.1uF","C_0805_2012Metric",252.984000,-84.808301,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",259.844513,-88.038913,315.000000,bottom
"C5","0.1uF","C_0805_2012Metric",261.287287,-86.611487,315.000000,bottom
"C6","0.1uF","C_0805_2012Metric",247.876301,-74.828400,180.000000,bottom
"C7","0.1uF","C_0805_2012Metric",261.795287,-68.049113,45.000000,bottom
"C8","10uF","C_0805_2012Metric",268.729487,-75.186513,45.000000,bottom
"C9","1uF","C_0805_2012Metric",253.034800,-88.542101,270.000000,bottom
"D1","D_Small","D_SOD-123",52.387720,-30.956380,90.000000,bottom
"D2","D_Small","D_SOD-123",71.437800,-30.956380,90.000000,bottom
"D3","D_Small","D_SOD-123",90.487880,-30.956380,90.000000,bottom
"D4","D_Small","D_SOD-123",109.537960,-30.956380,90.000000,bottom
"D5","D_Small","D_SOD-123",128.588040,-30.956380,90.000000,bottom
"D6","D_Small","D_SOD-123",147.638120,-30.956380,90.000000,bottom
"D7","D_Small","D_SOD-123",166.688200,-30.956380,90.000000,bottom
"D8","D_Small","D_SOD-123",185.738280,-30.956380,90.000000,bottom
"D9","D_Small","D_SOD-123",204.788360,-30.956380,90.000000,bottom
"D10","D_Small","D_SOD-123",223.838440,-30.956380,90.000000,bottom
"D11","D_Small","D_SOD-123",242.888520,-30.956380,90.000000,bottom
"D12","D_Small","D_SOD-123",261.938600,-30.956380,90.000000,bottom
"D13","D_Small","D_SOD-123",40.481420,-50.006460,90.000000,bottom
"D14","D_Small","D_SOD-123",61.912760,-50.006460,90.000000,bottom
"D15","D_Small","D_SOD-123",80.962840,-50.006460,90.000000,bottom
"D16","D_Small","D_SOD-123",100.012920,-50.006460,90.000000,bottom
"D17","D_Small","D_SOD-123",119.063000,-50.006460,90.000000,bottom
"D18","D_Small","D_SOD-123",138.113080,-50.006460,90.000000,bottom
"D19","D_Small","D_SOD-123",157.163160,-50.006460,90.000000,bottom
"D20","D_Small","D_SOD-123",176.213240,-50.006460,90.000000,bottom
